日期,daily risk free rate
2014-02-20,5.3744828955260004e-05
2014-02-21,4.7908602394786115e-05
2014-02-24,4.6184948865768405e-05
2014-02-25,4.672370676717108e-05
2014-02-26,4.753164557813605e-05
2014-02-27,4.753164557813605e-05
2014-02-28,5.011007388167066e-05
2014-03-03,5.653752585721428e-05
2014-03-04,5.6483846909261004e-05
2014-03-05,5.6671718638323654e-05
2014-03-06,5.5724177362215244e-05
2014-03-07,5.411556174061971e-05
2014-03-10,5.2078600346394666e-05
2014-03-11,5.0841712884830415e-05
2014-03-12,5.156777954651304e-05
2014-03-13,5.3180574364875e-05
2014-03-14,5.0935843462607266e-05
2014-03-17,5.073413113243497e-05
2014-03-18,5.559799282006672e-05
2014-03-19,7.57274858207424e-05
2014-03-20,8.127889926790033e-05
2014-03-21,6.765328177826824e-05
2014-03-24,6.765328177826824e-05
2014-03-25,6.765328177826824e-05
2014-03-26,6.81878466246566e-05
2014-03-27,7.18735120093239e-05
2014-03-28,7.43278783121859e-05
2014-03-31,7.56608540091186e-05
2014-04-01,7.741939226191263e-05
2014-04-02,7.965590520075949e-05
2014-04-03,7.965590520075949e-05
2014-04-04,7.467451421216964e-05
2014-04-08,7.334105977352401e-05
2014-04-09,7.406120554920292e-05
2014-04-10,7.406120554920292e-05
2014-04-11,7.43278783121859e-05
2014-04-14,7.13663587355029e-05
2014-04-15,6.62896704610727e-05
2014-04-16,6.224833854262535e-05
2014-04-17,5.911288276250204e-05
2014-04-18,5.425524517677083e-05
2014-04-21,5.371796231679049e-05
2014-04-22,5.227214973202443e-05
2014-04-23,5.32611892589685e-05
2014-04-24,6.238225268551112e-05
2014-04-25,6.256972152041129e-05
2014-04-28,6.5139432852801e-05
2014-04-29,7.043188388933252e-05
2014-04-30,6.765328177826824e-05
2014-05-04,6.497889628986897e-05
2014-05-05,6.417607274022963e-05
2014-05-06,6.417607274022963e-05
2014-05-07,6.417607274022963e-05
2014-05-08,6.042645788117973e-05
2014-05-09,6.0171834226796506e-05
2014-05-12,5.9984201696394734e-05
2014-05-13,6.364072668163523e-05
2014-05-14,6.408507126920426e-05
2014-05-15,6.364072668163523e-05
2014-05-16,6.417607274022963e-05
2014-05-19,6.487186670312006e-05
2014-05-20,6.57012369631449e-05
2014-05-21,6.8401643444016e-05
2014-05-22,6.792057720272915e-05
2014-05-23,6.845509004937966e-05
2014-05-26,6.77201080723222e-05
2014-05-27,6.874902779574477e-05
2014-05-28,6.792057720272915e-05
2014-05-29,6.792057720272915e-05
2014-05-30,6.952380387659218e-05
2014-06-03,6.82145721369043e-05
2014-06-04,6.928337950773411e-05
2014-06-05,6.968407510132835e-05
2014-06-06,6.98122853499683e-05
2014-06-09,6.979091739056642e-05
2014-06-10,6.952380387659218e-05
2014-06-11,7.011141933177534e-05
2014-06-12,7.024495077345705e-05
2014-06-13,7.032506652326909e-05
2014-06-16,7.032506652326909e-05
2014-06-17,7.032506652326909e-05
2014-06-18,7.13663587355029e-05
2014-06-19,7.294089720888408e-05
2014-06-20,7.456786167003848e-05
2014-06-23,7.446120498766362e-05
2014-06-24,8.02147490854832e-05
2014-06-25,8.085328865359287e-05
2014-06-26,8.029457464764356e-05
2014-06-27,7.792542953888315e-05
2014-06-30,7.867099884162343e-05
2014-07-01,8.143848625197236e-05
2014-07-02,8.151827626790009e-05
2014-07-03,7.992203551299149e-05
2014-07-04,7.938974910759455e-05
